Comment,Designator,Footprint,LCSC,Quantity
CH32V203C8T6,U3,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C3001172,1
MOTOR1,U2,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR2,U5,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR3,U6,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR4,U7,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR5,U9,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR6,U10,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR7,U12,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
MOTOR8,U13,CONN-SMD_2P-P1.00_MEGASTAR_ZX-SH1.0-2PLT,C7430451,1
POT1,U14,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT2,U17,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT3,U18,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT4,U19,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT5,U20,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT6,U21,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT7,U23,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
POT8,U24,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
SWD,U22,CONN-SMD_3P-P1.00_HDGC_HDGC1002WV-S-3P,C7430452,1
100nF,C26,C0603,,1
100nF,C21,C0603,,1
1k,R18,R0603,,1
1k,R24,R0603,,1
1k,R20,R0603,,1
1k,R23,R0603,,1
1k,R21,R0603,,1
1k,R22,R0603,,1
1k,R17,R0603,,1
1k,R19,R0603,,1
100nF,C29,C0603,,1
100nF,C30,C0603,,1
100nF,C24,C0603,,1
DRV8833PWP,U1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,,1
10uF,C9,C_0805_2012Metric,,1
10uF,C6,C_0805_2012Metric,,1
5.1k,R14,R0603,,1
5.1k,R3,R0603,,1
5.1k,R11,R0603,,1
5.1k,R2,R0603,,1
10uF,C14,C_0805_2012Metric,,1
DRV8833PWP,U15,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,,1
VM,J6,PinSocket_1x01_P2.54mm_Vertical,,1
0.1R,R12,R0603,,1
10nF,C15,C0603,,1
BOOT,SW1,小龟轻触开关3_4_22.0MM,,1
10uF,C17,C_0805_2012Metric,,1
2.2uF,C5,C_0805_2012Metric,,1
10uF,C20,C_0805_2012Metric,,1
GND,J7,PinSocket_1x01_P2.54mm_Vertical,,1
0.1R,R10,R0603,,1
100nF,C25,C0603,,1
10nF,C7,C0603,,1
0.1R,R13,R0603,,1
5.1k,R7,R0603,,1
20pF,C2,C0603,,1
ME6210A33M3G,U4,SOT-23,,1
ME6210A33M3G,U16,SOT-23,,1
20pF,C3,C0603,,1
10k,R1,R0603,,1
100nF,C27,C0603,,1
0.1R,R5,R0603,,1
DRV8833PWP,U11,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,,1
10nF,C12,C0603,,1
0.1R,R6,R0603,,1
2.2uF,C10,C_0805_2012Metric,,1
10uF,C8,C_0805_2012Metric,,1
Conn_02x02_Odd_Even,J2,PinSocket_2x02_P2.54mm_Vertical,,1
0.1R,R9,R0603,,1
100nF,C4,C0603,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,1
DRV8833PWP,U8,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,,1
10uF,C11,C_0805_2012Metric,,1
10uF,C19,C_0805_2012Metric,,1
Conn_01x03,J8,PinSocket_1x03_P2.54mm_Vertical,,1
0.1R,R16,R0603,,1
2.2uF,C13,C_0805_2012Metric,,1
10nF,C18,C0603,,1
100nF,C28,C0603,,1
100nF,C33,C0603,,1
100nF,C32,C0603,,1
100nF,C1,C0603,,1
100nF,C31,C0603,,1
2.2uF,C16,C_0805_2012Metric,,1
RESET,SW2,小龟轻触开关3_4_22.0MM,,1
1M,R4,R0603,,1
0.1R,R15,R0603,,1
8M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
5.1k,R8,R0603,,1
10uF,C22,C_0805_2012Metric,,1
100nF,C23,C0603,,1
3.3R,L1,L_0603_1608Metric,,1
