Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,72.931,-53.6585,-90.0,top
C10,2.2uF,C_0805_2012Metric,86.074576,-73.7435,90.0,top
C11,10uF,C_0805_2012Metric,88.043682,-73.757,90.0,top
C12,10nF,C0603,87.362,-76.2435,180.0,top
C13,2.2uF,C_0805_2012Metric,96.303,-73.63,90.0,top
C14,10uF,C_0805_2012Metric,98.303,-73.65,90.0,top
C15,10nF,C0603,97.621318,-76.1605,180.0,top
C16,2.2uF,C_0805_2012Metric,106.077636,-73.67,90.0,top
C17,10uF,C_0805_2012Metric,108.090318,-73.69,90.0,top
C18,10nF,C0603,107.395954,-76.1775,180.0,top
C19,10uF,C_0805_2012Metric,121.69447,-55.92,180.0,top
C2,20pF,C0603,93.0245,-56.491,90.0,top
C20,10uF,C_0805_2012Metric,124.39447,-53.24,90.0,top
C21,100nF,C0603,118.711,-54.3585,-90.0,top
C22,10uF,C_0805_2012Metric,92.3615,-63.57675,180.0,bottom
C23,100nF,C0603,92.353,-61.81822,180.0,bottom
C24,100nF,C0603,109.511,-50.7755,180.0,top
C25,100nF,C0603,103.253,-50.7925,180.0,top
C26,100nF,C0603,95.912,-51.9095,0.0,top
C27,100nF,C0603,88.553,-53.5265,180.0,top
C28,100nF,C0603,84.453,-51.6435,90.0,top
C29,100nF,C0603,81.553,-53.4605,180.0,top
C3,20pF,C0603,98.8075,-56.491,-90.0,top
C30,100nF,C0603,78.606,-52.8775,90.0,top
C31,100nF,C0603,87.553,-68.7945,180.0,top
C32,100nF,C0603,97.875,-60.2585,0.0,top
C33,100nF,C0603,96.975,-69.751,-90.0,top
C4,100nF,C0603,127.131,-57.6095,90.0,top
C5,2.2uF,C_0805_2012Metric,75.680894,-73.872,90.0,top
C6,10uF,C_0805_2012Metric,77.711788,-73.882,90.0,top
C7,10nF,C0603,77.012,-76.3785,180.0,top
C8,10uF,C_0805_2012Metric,116.725364,-56.68,-90.0,top
C9,10uF,C_0805_2012Metric,111.225364,-56.7,-90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,123.36,-64.625,90.0,top
J2,Conn_02x02_Odd_Even,PinSocket_2x02_P2.54mm_Vertical,113.905,-64.725,180.0,top
J6,VM,PinSocket_1x01_P2.54mm_Vertical,126.045,-78.58,0.0,top
J7,GND,PinSocket_1x01_P2.54mm_Vertical,125.945,-88.17,0.0,top
J8,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,115.595,-76.09,180.0,top
L1,3.3R,L_0603_1608Metric,92.2715,-65.41122,0.0,bottom
R1,10k,R0603,72.975,-61.6925,90.0,top
R10,0.1R,R0603,89.740682,-86.546,0.0,top
R11,5.1k,R0603,93.7,-83.5595,90.0,top
